HDR20240315GOLDMN SACHS          MERIDIAN CAPITAL   TRADE CONFIRMS          
T-20240315-001ACC-1001  AAPL      BUY 000005000000017148USD03152024SETTLED  
T-20240315-003ACC-1001  GOOGL     BUY 000001000000013892USD03152024SETTLED  
T-20240315-007ACC-1001  TSLA      BUY 000002500000016357USD03152024SETTLED  
T-20240315-012ACC-1001  PG        SELL000008000000016034USD03152024SETTLED  
TRL000000040000000000000000632100000000                                    
HDR20240315MORGAN STANLEY        MERIDIAN CAPITAL   TRADE CONFIRMS          
T-20240315-002ACC-1002  MSFT      SELL000002000000041227USD03152024SETTLED  
T-20240315-005ACC-1002  NVDA      BUY 000001500000087837USD03152024SETTLED  
T-20240315-011ACC-1002  HD        BUY 000001200000038579USD03152024PENDING  
TRL000000030000000000000001676430000000                                    
HDR20240315JP MORGAN CHASE       MERIDIAN CAPITAL   TRADE CONFIRMS          
T-20240315-004ACC-1003  AMZN      BUY 000003000000017825USD03152024SETTLED  
T-20240315-009ACC-1003  V         SELL000003500000027985USD03152024FAILED   
T-20240315-014ACC-1003  DIS       BUY 000004500000011147USD03152024SETTLED  
TRL000000030000000000000000569570000000                                    
