TRADE_ID,ACCT_NUM,TICKER,SIDE,QTY,PRICE,TRADE_DATE,SETTLE_DATE,BROKER,COMMISSION,STATUS
T-20240315-001,ACC-1001,AAPL,BUY,500,171.48,03/15/2024,03/19/2024,GOLDMN,12.50,SETTLED
T-20240315-002,ACC-1002,MSFT,SELL,200,412.27,03/15/2024,03/19/2024,MRGST,8.00,SETTLED
T-20240315-003,ACC-1001,GOOGL,BUY,100,138.92,03/15/2024,03/19/2024,GOLDMN,10.00,SETTLED
T-20240315-004,ACC-1003,AMZN,BUY,300,178.25,03/15/2024,03/19/2024,JPMC,15.00,SETTLED
T-20240315-005,ACC-1002,NVDA,BUY,150,878.37,03/15/2024,03/19/2024,MRGST,18.50,SETTLED
T-20240315-006,ACC-1004,META,SELL,400,484.03,03/15/2024,03/19/2024,BARCL,20.00,PENDING
T-20240315-007,ACC-1001,TSLA,BUY,250,163.57,03/15/2024,03/19/2024,GOLDMN,14.00,SETTLED
T-20240315-008,ACC-1005,JPM,BUY,600,193.42,03/15/2024,03/19/2024,CITI,22.00,SETTLED
T-20240315-009,ACC-1003,V,SELL,350,279.85,03/15/2024,03/19/2024,JPMC,16.50,FAILED
T-20240315-010,ACC-1004,UNH,BUY,75,494.56,03/15/2024,03/19/2024,BARCL,25.00,SETTLED
T-20240315-011,ACC-1002,HD,BUY,120,385.79,03/15/2024,,MRGST,11.00,PENDING
T-20240315-012,ACC-1001,PG,SELL,800,160.34,03/15/2024,03/19/2024,GOLDMN,30.00,SETTLED
T-20240315-013,ACC-1005,MA,BUY,90,471.28,03/15/2024,03/19/2024,CITI,19.00,SETTLED
T-20240315-014,ACC-1003,DIS,BUY,450,111.47,03/15/2024,03/19/2024,JPMC,13.50,SETTLED
T-20240315-015,ACC-1001,AAPL,BUY,500,171.48,03/15/2024,03/19/2024,GOLDMN,12.50,SETTLED
